Line	Signature 1A	Signature 1B	Signature 2	Signature 3	Signature 4	Signature 5	Signature 6	Signature 7	Signature 8	Signature 9	Signature 10	Signature 11	Signature 12	Signature 13	Signature 14	Signature 15	Signature 16	Signature 17	Signature 18	Signature 19	Signature 20	Signature 21	Signature R1	Signature R2	Signature R3	Signature U1	Signature U2
Control	0	0	0	0	0	0.29363692531238117	0	0	0.23568025565345088	0	0	0	0.1024064845422797	0	0	0	0	0	0	0	0	0	0	0	0	0.06811255458453559	0.11984662037995544
E287fs	0	0	0	0	0	0.19867110506682306	0	0	0.302532804983058	0	0	0	0.08339351632103847	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26629796318523624
R112*	0	0	0	0	0	0.49346751145295076	0	0	0.2233097046509814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R150*	0	0	0	0	0	0	0	0	0.2113789273095058	0	0	0.06467766202995258	0.07238624569230585	0	0	0	0.15358442285750812	0	0	0	0	0	0	0	0	0	0.26899817156227807
