Line	Signature 1	Signature 2	Signature 3	Signature 4	Signature 5	Signature 6	Signature 7	Signature 8	Signature 9	Signature 10	Signature 11	Signature 12	Signature 13	Signature 14	Signature 15	Signature 16	Signature 17	Signature 18	Signature 19	Signature 20	Signature 21	Signature 22	Signature 23	Signature 24	Signature 25	Signature 26	Signature 27	Signature 28	Signature 29	Signature 30
Control	0.4570727575918931	0	0	0.1233496596591081	0.07701238894807946	0	0	0	0	0	0	0	0	0	0.10153173771877072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E287fs	0.45945003083936037	0	0.11182562592276273	0.07271399797815026	0.20041456424427176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0834597737613186	0
R112*	0.39236999761065117	0	0.11299641037980059	0	0.1006828967555606	0.07943597929997319	0	0	0	0	0	0	0	0	0.061784797392337776	0	0	0	0	0	0	0	0	0.07079135522059393	0	0	0	0	0	0
R150*	0.3106122943267096	0	0.15805867236580626	0	0.12307352656878152	0	0.0786041628624222	0	0	0.0866807092038122	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09417342891474825	0	0	0	0	0	0
