Line	Signature 1A	Signature 1B	Signature 2	Signature 3	Signature 4	Signature 5	Signature 6	Signature 7	Signature 8	Signature 9	Signature 10	Signature 11	Signature 12	Signature 13	Signature 14	Signature 15	Signature 16	Signature 17	Signature 18	Signature 19	Signature 20	Signature 21	Signature R1	Signature R2	Signature R3	Signature U1	Signature U2
Control	0.4236100099553656	0	0	0	0.15716283908427467	0	0.10406812366806398	0	0	0	0	0	0	0	0	0.06462674923505711	0	0	0	0	0	0	0	0	0	0.0732597293343504	0
E287fs	0.45057759768491995	0.10675670673693402	0	0.08282481382643576	0.2146646098412171	0	0	0	0	0.06082156574850687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R112*	0.3034378853147265	0.17338359967599468	0	0.0759341798149441	0.1255383534623037	0	0.16355455164092136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R150*	0.17846279284143135	0.33328606939936656	0	0.0806203266867446	0.1635256549303007	0	0.06259333332043614	0.06421686376650486	0	0	0.07982159656725213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
