Line	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94
Control	0.12840488350330623	0	0	0.06917916810350949	0.07573897624681891	0	0	0	0	0	0	0	0	0.07321445809037001	0	0	0	0	0	0	0.16097135258397172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13775511083910716	0	0	0	0	0	0	0
E287fs	0.14538821706057756	0	0	0	0.17930446767261238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0638725068801066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16493938882284362	0	0	0	0	0	0	0
R112*	0.09334654193685087	0	0	0	0.1929619648242235	0	0	0	0	0	0	0	0	0.06598373898274848	0	0	0	0	0	0	0.15595502405827155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09187427545893043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180774958666701	0	0	0	0	0	0	0
R150*	0	0	0	0	0.2432665051961505	0	0	0	0	0	0	0	0	0.11693544261021684	0	0	0	0	0	0	0.08795893976666233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0955635807904266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16983126391623188	0	0	0	0	0	0	0
