Line	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
Control	0.12606893212881254	0	0	0	0.1286832572465427	0	0	0	0	0	0	0	0	0.07479423321820017	0	0	0	0	0	0	0.15514845043009867	0	0	0	0	0	0	0	0	0	0	0	0.06806122799173235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14099360853273793	0	0	0	0	0	0	0	0
E287fs	0.14186393758087956	0	0	0	0.20022900075665845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0757675498195119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17623613647822217	0	0	0	0	0	0	0	0
R112*	0.09055178612821309	0	0	0	0.22206179421109917	0	0	0	0	0	0	0	0	0.06533922726718012	0	0	0	0	0	0	0.15515661040334433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09122767128715434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1865224139888527	0	0	0	0	0	0	0	0
R150*	0	0	0	0	0.18611629716376862	0	0	0	0	0	0	0	0	0.11879961362616645	0	0	0	0	0	0	0.09173082831857515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10496690075113163	0	0	0	0	0	0	0	0	0	0.07064663589112513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18055998129915243	0	0	0	0	0	0	0	0
