Line	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
Control	0	0	0	0	0.11480666378258773	0	0	0	0	0	0.13030325480457589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0794957888560568	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061095566454874475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12408935942989968	0	0	0	0	0	0
E287fs	0	0	0	0	0.15261471969677973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08072677102958334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08105127857334656	0	0	0.16745929063174533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R112*	0	0	0.061170663740826255	0	0.34765366002153686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0945527228345773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08865808572367258	0	0	0	0	0	0
R150*	0	0	0	0	0.08342512665267894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10119645386572405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19789059964432826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
