Line	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
Control	0	0	0.37317206318034085	0	0	0.3576640026453779	0	0	0	0	0	0	0	0.09230807090122196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09477730703694023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E287fs	0	0	0.4384901945874067	0	0	0.33781260657949924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09301227014002113	0	0	0	0	0	0	0	0	0	0.08315699459380141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R112*	0	0	0.36469847278969997	0	0	0.3675666452778042	0	0	0	0	0	0	0	0.0921011909415504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09560911898133792	0	0	0	0	0	0	0	0	0	0.08002457200960747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R150*	0	0	0.4592829413455833	0	0	0.2452736873221948	0	0	0	0	0	0	0	0.148419786885539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06689610995341742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
