Line	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94
Control	0.19043281307912957	0	0	0	0.2766058918248422	0	0	0	0	0	0.09503294449204847	0	0	0.07318387842264891	0	0	0	0	0	0	0.1276001476761154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11559376527952164	0	0	0	0	0
E287fs	0.21198784601469955	0	0.08610733683241546	0	0.33992719239717023	0	0	0	0	0	0.08488290459581917	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10086983634495704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07969505933869742	0	0	0	0	0
R112*	0.17345897012609293	0	0	0	0.37596298421350133	0	0	0	0	0	0.08228254312237382	0	0	0.06860510625975143	0	0	0	0	0	0	0.09029177180199624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R150*	0.12673675294979048	0	0.12087528152043565	0	0.33667879597653655	0	0	0	0	0	0	0	0	0.1300472551910193	0	0	0	0	0	0	0	0	0	0	0.06494236200122763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
