Line	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
Control	0.12557546616835571	0	0	0.09230971181444705	0.28835520918196067	0	0	0	0	0	0	0	0	0.06811922812714864	0	0	0	0	0	0	0.14542791468210836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14869657821847576	0	0	0	0	0	0	0	0
E287fs	0.13581197403340275	0	0	0	0.3099615047351302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08508996703359574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18136586536819815	0	0	0	0	0	0	0	0
R112*	0.09194841046708528	0	0	0	0.3090498400440003	0	0	0	0	0	0	0	0	0.06519668414948654	0	0	0	0	0	0	0.14819093828032573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07329899398215886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18724915809062473	0	0	0	0	0	0	0	0
R150*	0	0	0	0	0.3122828444893976	0	0	0	0	0	0	0	0	0.11818877165705785	0	0	0	0	0	0	0.08921999631243818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09114256625976044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17901366860188614	0	0	0	0	0	0	0	0
