sample	Signature 3	Signature 4	Signature 5	Signature 6	Signature 7	Signature 8	Signature 9	Signature 10	Signature 11	Signature 12	Signature 13	Signature 14	Signature 15	Signature 16	Signature 17	Signature 18	Signature 19	Signature 20	Signature 21	Signature 22	Signature 23	Signature 24	Signature 25	Signature 26	Signature 27	Signature 28	Signature 29	Signature 30	mutations
Control	0.7534372888981906	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08865616995264	0	0	0	0.09229762694208246	0	0	0	0	0	0.06560891420708699	0	0	0	2909
E287fs	0.7731198651936502	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07651596353810868	0	0	0	0.09801887319814748	0	0	0	0	0	0.05234529807009368	0	0	0	4196
R112*	0.7465774458749324	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0868220628615068	0	0	0	0.11034774310174028	0.05625274816182065	0	0	0	0	0	0	0	0	3780
R150*	0.7372772871389298	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1267605772929034	0	0	0	0.0794977275843549	0	0	0	0	0	0.05646440798381183	0	0	0	6107
